USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
vlad             28263   0.0  0.0 34151360   2740   ??  S    10:43PM   0:00.03 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/MacOS/XProtect
root             28259   0.0  0.0 33690436   3196   ??  Ss   10:43PM   0:01.69 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/XPCServices/XProtectPluginService.xpc/Contents/MacOS/XProtectPluginService
root             28258   0.0  0.0 34151296   1948   ??  Ss   10:43PM   0:00.04 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/MacOS/XProtect
vlad             28257   0.0  0.1 33692000   8808   ??  S    10:43PM   0:00.22 /usr/libexec/appleaccountd
root             28256   0.0  0.0 33652416   1420   ??  Ss   10:43PM   0:00.03 /usr/libexec/applessdstatistics
vlad             28039   0.0  0.2 34230880  12764   ??  S    10:31PM   0:00.22 /System/Library/CoreServices/OSDUIHelper.app/Contents/MacOS/OSDUIHelper
vlad             28022   0.0  0.1 33690076   5084   ??  Ss   10:30PM   0:00.13 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/XPCServices/ContainerMetadataExtractor.xpc/Contents/MacOS/ContainerMetadataExtractor
vlad             27472   0.0  0.0 33662560   2548   ??  Ss   10:01PM   0:00.04 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
vlad             27436   0.0  0.0 34159960   1828   ??  Ss   10:00PM   0:00.34 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
vlad             27315   0.0  0.1 33662684   4564   ??  Ss    9:32PM   0:00.10 /System/Library/Frameworks/QuickLook.framework/Versions/A/XPCServices/QuickLookSatellite.xpc/Contents/MacOS/QuickLookSatellite
vlad             27314   0.0  0.2 33725144  13884   ??  Ss    9:32PM   0:00.18 /System/Library/Frameworks/QuickLookThumbnailing.framework/Versions/A/PlugIns/ThumbnailExtension_macOS.appex/Contents/MacOS/ThumbnailExtension_macOS -AppleLanguages ("ru-UA", "en-UA", "uk-UA")
root             27313   0.0  0.0 33694216   2688   ??  Ss    9:32PM   0:00.08 /System/Library/PrivateFrameworks/AssetCacheServicesExtensions.framework/XPCServices/AssetCacheTetheratorService.xpc/Contents/MacOS/AssetCacheTetheratorService
_assetcache      27304   0.0  0.1 33691948   4388   ??  Ss    9:32PM   0:00.12 /usr/libexec/AssetCache/AssetCache
root             27243   0.0  0.0 33652736   1204   ??  Ss    9:32PM   0:00.02 /usr/libexec/misagent
root             27229   0.0  0.0 33660140    976   ??  Ss    9:32PM   0:00.01 /usr/libexec/smd
root             27215   0.0  0.0 33659840   1244   ??  Ss    9:32PM   0:00.05 /usr/libexec/logd_helper
root             27211   0.0  0.0 33660760   3264   ??  Ss    9:32PM   0:00.59 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XprotectService.xpc/Contents/MacOS/XprotectService
vlad             27209   0.0  0.0 33642860   1276   ??  Ss    9:32PM   0:00.01 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
vlad             27140   0.0  0.1 33862652  10052   ??  Ss    9:28PM   0:00.74 /System/Library/PrivateFrameworks/SafariShared.framework/Versions/A/XPCServices/com.apple.Safari.SearchHelper.xpc/Contents/MacOS/com.apple.Safari.SearchHelper
vlad             27021   0.0  0.2 34219404  13688   ??  S     9:22PM   0:00.45 /System/Library/Frameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
vlad             26977   0.0  0.1 33694348   7760   ??  S     9:21PM   0:00.15 /usr/libexec/keyboardservicesd
vlad             26976   0.0  0.3 33915996  25528   ??  S     9:21PM   0:01.86 /System/Library/Services/AppleSpell.service/Contents/MacOS/AppleSpell
vlad             26972   0.0  0.3 33833636  24296   ??  Ss    9:21PM   0:03.68 /System/Library/PrivateFrameworks/TranslationUIServices.framework/PlugIns/TranslationUIService.appex/Contents/MacOS/TranslationUIService -AppleLanguages ("ru-UA", "en-UA", "uk-UA")
_ctkd            26941   0.0  0.0 33651056   1660   ??  Ss    9:19PM   0:00.04 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -s
vlad             26940   0.0  0.1 33690352   4444   ??  S     9:19PM   0:00.17 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -tw
vlad             26838   0.0  0.1 34204612  10016   ??  Ss    9:13PM   0:00.66 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
vlad             26836   0.0  0.1 33859692   8424   ??  S     9:13PM   0:00.22 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/reversetemplated
vlad             26830   0.0  0.1 33704108  10788   ??  S     9:13PM   0:00.64 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
