USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
vlad             25580   0.0  0.1 33659732   6184   ??  S     6:36PM   0:00.21 /usr/libexec/findmydevice-user-agent
root             25579   0.0  0.0 33659696   1532   ??  Ss    6:36PM   0:00.01 /System/Library/PrivateFrameworks/FindMyMac.framework/Resources/FindMyMacd
root             25578   0.0  0.1 33702388  11304   ??  Ss    6:36PM   0:00.41 /usr/libexec/findmydeviced
vlad             25573   0.0  0.1 33691444   5624   ??  S     6:36PM   0:00.43 /usr/libexec/biomesyncd
vlad             25572   0.0  0.6 33764124  46376   ??  Ss    6:36PM   0:14.11 /System/Library/CoreServices/Screen Time.app/Contents/PlugIns/ScreenTimeWidgetExtension.appex/Contents/MacOS/ScreenTimeWidgetExtension -AppleLanguages ("ru-UA", "en-UA", "uk-UA")
vlad             25571   0.0  0.5 33835200  45052   ??  Ss    6:36PM   0:16.38 /System/Library/CoreServices/ClimateProxy.app/Contents/PlugIns/WeatherWidget.appex/Contents/MacOS/WeatherWidget -AppleLanguages ("ru-UA", "en-UA", "uk-UA")
vlad             25569   0.0  0.1 33659964   4488   ??  S     6:36PM   0:00.05 /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Support/followupd
vlad             25568   0.0  0.1 33660696   5232   ??  S     6:36PM   0:00.08 /System/Library/Frameworks/Security.framework/Versions/A/Resources/CloudKeychainProxy.bundle/Contents/MacOS/CloudKeychainProxy
root             25567   0.0  0.1 33690296   5424   ??  Ss    6:36PM   0:00.30 /usr/libexec/wifivelocityd
root             25566   0.0  0.0 33660156   1464   ??  Ss    6:36PM   0:00.04 /System/Library/PrivateFrameworks/AccountPolicy.framework/XPCServices/com.apple.AccountPolicyHelper.xpc/Contents/MacOS/com.apple.AccountPolicyHelper
vlad             25565   0.0  0.2 33703464  17892   ??  Ss    6:36PM   0:06.64 /System/Library/PrivateFrameworks/CalendarNotification.framework/Versions/A/XPCServices/CalNCService.xpc/Contents/MacOS/CalNCService
vlad             25564   0.0  0.1 33695320   9084   ??  S     6:36PM   0:00.35 /System/Library/PrivateFrameworks/StatusKit.framework/StatusKitAgent
vlad             25563   0.0  0.0 33659748   2380   ??  S     6:36PM   0:00.10 /usr/libexec/WiFiVelocityAgent
root             25562   0.0  0.0 33659636   2036   ??  Ss    6:36PM   0:00.02 /System/Library/CryptoTokenKit/com.apple.ifdreader.slotd/Contents/MacOS/com.apple.ifdreader
root             25561   0.0  0.0 33689324   3276   ??  Ss    6:36PM   0:00.09 /usr/libexec/usbd
root             25560   0.0  0.0 33651408   3576   ??  Ss    6:36PM   0:00.04 /usr/libexec/PowerUIAgent
root             25552   0.0  0.0 33659796   3476   ??  Ss    6:07PM   0:00.11 /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd-helper -launchd
root             25551   0.0  0.0 33660284   2092   ??  Ss    6:07PM   0:00.05 /System/Library/PrivateFrameworks/AppleCredentialManager.framework/AppleCredentialManagerDaemon
_locationd       25543   0.0  0.0 33690220   2536   ??  S     6:07PM   0:00.08 /usr/libexec/containermanagerd --runmode=agent --bundle-container-mode=global --bundle-container-owner=_appinstalld --system-container-mode=none
_locationd       25541   0.0  0.0 33693108   3876   ??  S     6:07PM   0:00.31 /usr/libexec/trustd --agent
_locationd       25540   0.0  0.0 33660140    792   ??  S     6:07PM   0:00.02 /usr/sbin/cfprefsd agent
_locationd       25539   0.0  0.0 33690432   2388   ??  S     6:07PM   0:00.06 /usr/libexec/secinitd
_locationd       25538   0.0  0.1 33698208   8280   ??  S     6:07PM   0:00.64 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
vlad             25537   0.0  0.1 33700432  11032   ??  S     6:07PM   0:01.87 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
apple            25536   0.0  0.0 33692332   3412   ??  S     6:07PM   0:00.31 /usr/libexec/containermanagerd --runmode=agent --bundle-container-mode=global --bundle-container-owner=_appinstalld --system-container-mode=none
apple            25535   0.0  0.0 33652016    764   ??  S     6:07PM   0:00.01 /usr/sbin/cfprefsd agent
apple            25534   0.0  0.1 33695676   4684   ??  S     6:07PM   0:00.07 /usr/libexec/pkd
root             25530   0.0  0.0 33661184   2444   ??  Ss    6:07PM   0:00.32 /System/Library/PrivateFrameworks/CoreSymbolication.framework/coresymbolicationd
vlad             25529   0.0  0.2 33703940  14804   ??  S     6:07PM   0:02.51 /System/Library/PrivateFrameworks/CoreParsec.framework/parsecd
root             25528   0.0  0.0 33659836   1480   ??  Ss    6:07PM   0:01.95 /usr/libexec/sysmond
root             25525   0.0  0.0 33659856   3252   ??  Ss    6:07PM   0:00.04 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
vlad             25524   0.0  0.1 33689620   5664   ??  S     6:07PM   0:00.29 /System/Library/PrivateFrameworks/Synapse.framework/Support/contentlinkingd
vlad             25512   0.0  0.0 33660188   1352   ??  S     6:07PM   0:00.02 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/XPCServices/csnameddatad.xpc/Contents/MacOS/csnameddatad
vlad             25511   0.0  0.1 33696428  12404   ??  S     6:07PM   0:03.51 /usr/libexec/pkd
vlad             25510   0.0  0.1 33691176   7144   ??  S     6:07PM   0:00.32 /usr/libexec/mlruntimed
vlad             25509   0.0  0.4 33717548  32008   ??  S     6:07PM   0:04.42 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistant_service
vlad             25505   0.0  0.1 33660792   4504   ??  S     6:07PM   0:00.17 /System/Library/PrivateFrameworks/DistributedEvaluation.framework/Versions/A/XPCServices/com.apple.siri-distributed-evaluation.xpc/Contents/MacOS/com.apple.siri-distributed-evaluation
vlad             25504   0.0  0.1 33691084   8512   ??  Ss    6:07PM   0:00.52 /System/Library/PrivateFrameworks/CoreEmbeddedSpeechRecognition.framework/Versions/A/XPCServices/com.apple.siri.embeddedspeech.xpc/Contents/MacOS/com.apple.siri.embeddedspeech
vlad             25500   0.0  0.2 33709840  19368   ??  S     6:07PM   0:02.22 /System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/IMDPersistenceAgent.xpc/Contents/MacOS/IMDPersistenceAgent
vlad             25487   0.0  0.0 33691056   3348   ??  S     6:06PM   0:00.08 /usr/libexec/proactiveeventtrackerd
vlad             25474   0.0  0.3 33712948  22452   ??  S     6:06PM   0:06.08 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
root             25470   0.0  0.1 33690316   4204   ??  Ss    6:06PM   0:00.66 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/CAReportingService.xpc/Contents/MacOS/CAReportingService
root             25469   0.0  0.0 33654304   2420   ??  Ss    6:06PM   0:00.04 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
root             25468   0.0  0.0 33660184   2536   ??  Ss    6:06PM   0:00.06 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar -daemon
root             25463   0.0  0.1 33697932   4552   ??  Ss    6:06PM   0:00.75 /usr/sbin/systemsoundserverd
root             25462   0.0  0.0 33691660   3548   ??  Ss    6:06PM   0:00.21 /usr/libexec/sandboxd
vlad             25461   0.0  0.2 33706672  19424   ??  S     6:06PM   0:03.10 /System/Library/PrivateFrameworks/DoNotDisturbServer.framework/Support/donotdisturbd
root             25457   0.0  0.1 33663176   5072   ??  Ss    6:05PM   0:00.78 /usr/libexec/wifip2pd
vlad             25422   0.0  0.1 33699600  11344   ??  S     6:03PM   0:00.78 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistoryPluginHelper
vlad             25421   0.0  0.1 33695692   7820   ??  S     6:03PM   0:00.39 /System/Library/PrivateFrameworks/AssetCacheServices.framework/Versions/A/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService -a
_fpsd            25419   0.0  0.0 33661996   3268   ??  Ss    6:03PM   0:00.68 /System/Library/PrivateFrameworks/CoreADI.framework/adid
vlad             25418   0.0  0.1 33696420  10912   ??  S     6:03PM   0:01.17 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
vlad             25415   0.0  0.1 33696216   8328   ??  S     6:03PM   0:00.28 /usr/libexec/neagent
vlad             25414   0.0  0.1 33697552  11120   ??  S     6:03PM   0:00.54 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistorySyncHelper
root             25413   0.0  0.1 33691176   5856   ??  Ss    6:03PM   0:00.95 /usr/libexec/nehelper
root             25372   0.0  0.2 33709524  17220   ??  Ss    6:01PM   0:10.93 /usr/libexec/coreduetd
root             25365   0.0  0.0 33660116   3088   ??  Ss    6:01PM   0:00.83 /usr/libexec/keybagd -t 15
vlad             25361   0.0  0.0 34152156   3968   ??  S     6:01PM   0:00.13 /usr/libexec/SidecarRelay
_softwareupdate  25360   0.0  0.2 33953712  18840   ??  Ss    6:01PM   0:07.73 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
root             25359   0.0  0.1 33701784  11328   ??  Ss    6:01PM   0:11.93 /usr/libexec/mobileassetd
vlad             25358   0.0  0.0 33660192   2520   ??  S     6:01PM   0:00.13 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
_gamecontrollerd 25357   0.0  0.1 33690020   5332   ??  Ss    6:01PM   0:01.36 /usr/libexec/gamecontrollerd
root             25356   0.0  0.0 33682408   2728   ??  Ss    6:01PM   0:00.04 /System/Library/Frameworks/SystemExtensions.framework/Versions/A/Helpers/sysextd
vlad             25355   0.0  0.1 33706004  12360   ??  S     6:01PM   0:00.27 /System/Library/CoreServices/Keychain Circle Notification.app/Contents/MacOS/Keychain Circle Notification
root             25354   0.0  0.0 33659684   2036   ??  Ss    6:01PM   0:00.05 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/com.apple.cmio.registerassistantservice
vlad             25350   0.0  0.2 33708136  13680   ??  Ss    6:01PM   0:02.28 /System/Library/CoreServices/Siri.app/Contents/XPCServices/SiriNCService.xpc/Contents/MacOS/SiriNCService
vlad             25345   0.0  0.2 33703888  14368   ??  S     6:00PM   0:45.20 /System/Library/CoreServices/UniversalControl.app/Contents/MacOS/UniversalControl
vlad             25344   0.0  0.1 33695816   7388   ??  S     6:00PM   0:00.48 /usr/libexec/dmd
vlad             25343   0.0  0.1 33690320   7920   ??  S     6:00PM   0:01.80 /System/Library/Frameworks/Contacts.framework/Support/contactsd
vlad             25342   0.0  0.1 33696616   5908   ??  Ss    6:00PM   0:00.09 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/XPCServices/com.apple.FaceTime.FTConversationService.xpc/Contents/MacOS/com.apple.FaceTime.FTConversationService
vlad             25341   0.0  0.2 33704624  20512   ??  S     6:00PM   0:02.15 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
root             25325   0.0  0.0 33661128   3736   ??  Ss    6:00PM   0:00.05 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
vlad             25313   0.0  0.1 33659664   4308   ??  S     5:59PM   0:00.05 /System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/Resources/cdpd
vlad             25218   0.0  0.1 33733680  11420   ??  Ss    5:56PM   0:15.46 /System/Applications/Calendar.app/Contents/PlugIns/CalendarWidgetExtension.appex/Contents/MacOS/CalendarWidgetExtension -AppleLanguages ("ru-UA", "en-UA", "uk-UA")
vlad             25209   0.0  0.3 33710652  21744   ??  S     5:56PM   0:19.76 /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
vlad             25116   0.0  0.4 33765224  34144   ??  Ss    5:52PM   0:14.55 /System/Applications/Stocks.app/Contents/PlugIns/StocksWidget.appex/Contents/MacOS/StocksWidget -AppleLanguages ("ru-UA", "en-UA", "uk-UA")
vlad             24899   0.0  0.0 33690704   3156   ??  S     5:42PM   0:00.48 /usr/libexec/secinitd
vlad             24886   0.0  0.1 33691308   4740   ??  S     5:42PM   0:01.48 /usr/libexec/containermanagerd --runmode=agent --bundle-container-mode=global --bundle-container-owner=_appinstalld --system-container-mode=none
vlad             24878   0.0  0.1 33696916  10328   ??  S     5:42PM   0:01.10 /usr/libexec/swcd
vlad             24396   0.0  0.2 33698832  13876   ??  S     5:22PM   0:04.04 /System/Library/CoreServices/cloudpaird
vlad             24311   0.0  0.2 33709512  20240   ??  S     5:19PM   0:05.84 /System/Library/PrivateFrameworks/HomeKitDaemon.framework/Support/homed
vlad             24307   0.0  0.3 33728772  23276   ??  S     5:19PM   0:08.72 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
vlad             24287   0.0  0.1 33698188   7420   ??  S     5:18PM   0:03.75 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
root             24223   0.0  0.0 33659604   2068   ??  Ss    5:16PM   0:00.06 /System/Library/PrivateFrameworks/SystemStatusServer.framework/Support/systemstatusd
root             23030   0.0  0.0 33660128   2328   ??  Ss    4:27PM   0:00.34 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
vlad             22481   0.0  0.3 33729248  22576   ??  S     3:41PM   0:30.81 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
vlad             22305   0.0  0.1 33701756  10856   ??  S     3:33PM   0:01.32 /System/Library/PrivateFrameworks/VoiceShortcuts.framework/Versions/A/Support/siriactionsd
vlad             21924   0.0  0.3 33710432  21448   ??  S     3:16PM   0:14.58 /usr/libexec/knowledge-agent
vlad             21456   0.0  0.2 33702684  12948   ??  S     2:58PM   0:11.24 /usr/libexec/secd
root             20198   0.0  0.0 33660172   1056   ??  Ss    2:00PM   0:00.02 /usr/libexec/online-authd
root             19209   0.0  0.0 33664368   3064   ??  Ss    1:11PM   0:00.08 /System/Library/Frameworks/CoreMediaIO.framework/Resources/iOSScreenCapture.plugin/Contents/Resources/iOSScreenCaptureAssistant
vlad             18012   0.0  0.1 33690296   4428   ??  S    12:14PM   0:00.17 /System/Library/PrivateFrameworks/IMDPersistence.framework/IMAutomaticHistoryDeletionAgent.app/Contents/MacOS/IMAutomaticHistoryDeletionAgent
vlad             16222   0.0  0.1 33694840  10472   ??  S    10:59AM   0:00.98 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/SpeechSynthesis.framework/Resources/com.apple.speech.speechsynthesisd
root             15704   0.0  0.0 33627140   2104   ??  Ss   Tue10AM   0:00.23 /usr/libexec/taskgated
vlad             15663   0.0  0.1 33660268   5872   ??  S    Tue10AM   0:00.21 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeaccountd
vlad             15626   0.0  0.0 33660192   2896   ??  S    Tue10AM   0:00.09 /usr/libexec/USBAgent
vlad              5143   0.0  0.1 33781860   9148   ??  S    Mon04PM   0:04.06 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeuid.app/Contents/MacOS/storeuid
root              5138   0.0  0.0 33691740   3916   ??  Ss   Mon04PM   0:01.11 /usr/libexec/nesessionmanager
root              4933   0.0  0.0 33691176   4160   ??  Ss   Mon04PM   0:03.55 /System/Library/PrivateFrameworks/AmbientDisplay.framework/Versions/A/XPCServices/com.apple.AmbientDisplayAgent.xpc/Contents/MacOS/com.apple.AmbientDisplayAgent
root              4853   0.0  0.0 33660316   3432   ??  SNs  Mon04PM   0:00.30 /usr/libexec/warmd
vlad              3553   0.0  0.0 33660188   1420   ??  S    Mon03PM   0:00.05 /System/Library/PrivateFrameworks/KerberosHelper/Helpers/DiskUnmountWatcher
vlad              2962   0.0  0.1 33728748  12104   ??  S    Mon03PM   1:04.41 /usr/libexec/searchpartyuseragent
apple             2634   0.0  0.1 33697748   4552   ??  SN   Mon03PM   0:03.63 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport -s mdworker-bundle -c MDSImporterBundleFinder -m com.apple.metadata.mdbulkimport
apple             2542   0.0  0.1 33696212   5356   ??  S    Mon03PM   0:02.54 /usr/libexec/lsd
apple             2536   0.0  0.0 33632036   1640   ??  S    Mon03PM   0:07.57 /usr/sbin/distnoted agent
vlad              1765   0.0  0.1 33691732   4460   ??  S    Mon02PM   0:00.17 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storedownloadd
root              1293   0.0  0.1 33692852   4236   ??  Ss   Mon02PM   0:00.87 /System/Library/PrivateFrameworks/CoreAccessories.framework/Support/accessoryd
_fpsd              885   0.0  0.0 33643924    820   ??  Ss   Mon01PM   0:00.87 /System/Library/PrivateFrameworks/CoreLSKD.framework/Versions/A/lskdd
root               882   0.0  0.0 33659620   1608   ??  Ss   Mon01PM   0:00.04 /System/Library/CoreServices/CrashReporterSupportHelper server-init
_spotlight         821   0.0  0.0 33698224   3800   ??  SN   Mon01PM   0:02.89 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport -s mdworker-bundle -c MDSImporterBundleFinder -m com.apple.metadata.mdbulkimport
_fpsd              776   0.0  0.0 33660080   1712   ??  Ss   Mon01PM   0:00.24 /System/Library/PrivateFrameworks/CoreFP.framework/Versions/A/fairplayd
vlad               767   0.0  0.1 34271728   7012   ??  S    Mon01PM   0:16.62 /Applications/Utilities/Adobe Sync/CoreSync/Core Sync.app/Contents/MacOS/Core Sync
vlad               764   0.0  0.0 34182868   2992   ??  S    Mon01PM   0:53.06 /Applications/Utilities/Adobe Creative Cloud/ACC/Creative Cloud Helper.app/Contents/Frameworks/AdobeCrashReporter.framework/Versions/A/AdobeCRDaemon.app/Contents/MacOS/AdobeCRDaemon 762 Creative Cloud Helper 5.4.1 /Applications/Utilities/Adobe Creative Cloud/ACC/Creative Cloud Helper.app/Contents/Resources/CreativeCloudApp.icns /Applications/Utilities/Adobe Creative Cloud/ACC/Creative Cloud Helper.app/Contents/Frameworks/AdobeCrashReporter.framework/Versions/A/Adobe Crash Reporter.app/Contents/MacOS/Adobe Crash Reporter 0      5.4.1 5.4.1.534   Creative Cloud Helper 1 1 1 0  8.0.6
vlad               762   0.0  0.1 34237104   6152   ??  S    Mon01PM   0:12.70 /Applications/Utilities/Adobe Creative Cloud/ACC/Creative Cloud Helper.app/Contents/MacOS/Creative Cloud Helper --remoteApplet=UPI_BL --remoteAppletInstanceID=4953B913-CCBA-4DB1-BDA3-CABD084B268B --remoteHelper=CCH_UPI
vlad               749   0.0  0.0 34182868   3020   ??  S    Mon01PM   0:53.04 /Library/Application Support/Adobe/Adobe Desktop Common/ADS/Adobe Desktop Service.app/Contents/Frameworks/AdobeCrashReporter.framework/Versions/A/AdobeCRDaemon.app/Contents/MacOS/AdobeCRDaemon 726 Adobe Desktop Service 5.4.1 /Library/Application Support/Adobe/Adobe Desktop Common/ADS/Adobe Desktop Service.app/Contents/Resources/CreativeCloudApp.icns /Library/Application Support/Adobe/Adobe Desktop Common/ADS/Adobe Desktop Service.app/Contents/Frameworks/AdobeCrashReporter.framework/Versions/A/Adobe Crash Reporter.app/Contents/MacOS/Adobe Crash Reporter 0      5.4.1 5.4.1.534   Adobe Desktop Service 1 1 1 0  8.0.6
vlad               747   0.0  0.1 34500248   5656   ??  S    Mon01PM   0:12.52 /Library/Application Support/Adobe/Creative Cloud Libraries/CCLibrary.app/Contents/MacOS/../libs/node /Library/Application Support/Adobe/Creative Cloud Libraries/CCLibrary.app/Contents/MacOS/../js/server.js
vlad               741   0.0  0.0 34182868   3000   ??  S    Mon01PM   0:53.15 /Applications/Utilities/Adobe Creative Cloud/ACC/Creative Cloud Helper.app/Contents/Frameworks/AdobeCrashReporter.framework/Versions/A/AdobeCRDaemon.app/Contents/MacOS/AdobeCRDaemon 738 Creative Cloud Helper 5.4.1 /Applications/Utilities/Adobe Creative Cloud/ACC/Creative Cloud Helper.app/Contents/Resources/CreativeCloudApp.icns /Applications/Utilities/Adobe Creative Cloud/ACC/Creative Cloud Helper.app/Contents/Frameworks/AdobeCrashReporter.framework/Versions/A/Adobe Crash Reporter.app/Contents/MacOS/Adobe Crash Reporter 0      5.4.1 5.4.1.534   Creative Cloud Helper 1 1 1 0  8.0.6
vlad               738   0.0  0.1 34233240   7228   ??  S    Mon01PM   0:15.10 /Applications/Utilities/Adobe Creative Cloud/ACC/Creative Cloud Helper.app/Contents/MacOS/Creative Cloud Helper --remoteCoreExt=NGLWrapper --remoteHelper=CCH_NGLW
vlad               726   0.0  0.1 35677196  12488   ??  S    Mon01PM   0:41.56 /Library/Application Support/Adobe/Adobe Desktop Common/ADS/Adobe Desktop Service.app/Contents/MacOS/Adobe Desktop Service --onOSstartup=true --showwindow=false --waitForRegistration=true
vlad               713   0.0  0.1 34218648   5968   ??  S    Mon01PM   0:33.48 /Library/Application Support/Adobe/Adobe Desktop Common/IPCBox/AdobeIPCBroker.app/Contents/MacOS/AdobeIPCBroker -launchedbyvulcan /Applications/Utilities/Adobe Creative Cloud Experience/CCXProcess/CCXProcess.app/Contents/MacOS/../libs/Adobe_CCXProcess.node
root               708   0.0  0.0 34184876   1836   ??  Ss   Mon01PM   0:00.53 /Library/Application Support/Paragon Software/com.paragon-software.ntfsd
vlad               706   0.0  0.2 34460008  20932   ??  S    Mon01PM   1:31.10 /Applications/Utilities/Adobe Creative Cloud Experience/CCXProcess/CCXProcess.app/Contents/MacOS/../libs/Adobe_CCXProcess.node /Applications/Utilities/Adobe Creative Cloud Experience/CCXProcess/CCXProcess.app/Contents/MacOS/../js/main.js
vlad               704   0.0  0.0 33659812   1328   ??  S    Mon01PM   0:00.10 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
vlad               701   0.0  0.1 34313412   7404   ??  S    Mon01PM   0:04.83 /System/Library/CoreServices/TextInputMenuAgent.app/Contents/MacOS/TextInputMenuAgent
vlad               700   0.0  0.1 33690592   5008   ??  S    Mon01PM   0:02.52 /System/Library/CoreServices/diagnostics_agent
vlad               696   0.0  0.1 34200828   4356   ??  S    Mon01PM   0:00.57 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent --launchd
vlad               695   0.0  0.1 34203300   4344   ??  S    Mon01PM   0:00.60 /Library/Application Support/Paragon Software/com.paragon-software.ntfs.notification-agent.app/Contents/MacOS/NotificationAgent
vlad               694   0.0  0.0 34186224   3320   ??  S    Mon01PM   0:26.86 /Library/Application Support/Adobe/AdobeGCClient/AGMService -mode=logon
vlad               689   0.0  0.0 33690332   3052   ??  S    Mon01PM   0:00.41 /System/Library/Image Capture/Support/icdd
vlad               679   0.0  0.1 33700940   4976   ??  S    Mon01PM   0:01.46 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
_assetcache        673   0.0  0.0 33631972    584   ??  S    Mon01PM   0:02.05 /usr/sbin/distnoted agent
vlad               661   0.0  0.1 33689768   4788   ??  S    Mon01PM   0:01.47 /usr/sbin/BTLEServerAgent
root               656   0.0  0.1 33696944   6196   ??  Ss   Mon01PM   0:10.54 /usr/libexec/rtcreportingd
vlad               649   0.0  0.1 33700232   7040   ??  S    Mon01PM   0:06.58 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
vlad               648   0.0  0.1 33707364   5296   ??  S    Mon01PM   0:02.07 /System/Library/PrivateFrameworks/PassKitCore.framework/passd
_reportmemoryexception   647   0.0  0.0 33631972    584   ??  S    Mon01PM   0:02.05 /usr/sbin/distnoted agent
vlad               631   0.0  0.0 33659664   1880   ??  S    Mon01PM   0:01.06 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
vlad               626   0.0  0.1 33693084   7124   ??  S    Mon01PM   0:03.38 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
vlad               596   0.0  0.0 33660300   1052   ??  S    Mon01PM   0:00.04 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdwrite
root               587   0.0  0.0 33690448   3060   ??  Ss   Mon01PM   0:08.14 /usr/sbin/WirelessRadioManagerd
vlad               580   0.0  0.0 33691124   2972   ??  S    Mon01PM   0:20.17 /System/Library/CoreServices/lockoutagent
vlad               576   0.0  0.1 33731008  10376   ??  S    Mon01PM   0:45.72 /usr/libexec/nsurlsessiond
vlad               575   0.0  0.1 33698496   6852   ??  SN   Mon01PM   0:07.44 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport -s mdworker-bundle -c MDSImporterBundleFinder -m com.apple.metadata.mdbulkimport
root               574   0.0  0.1 33700308   8596   ??  Ss   Mon01PM   0:06.50 /System/Library/CoreServices/SubmitDiagInfo server-init
vlad               572   0.0  0.6 34006524  48424   ??  S    Mon01PM   0:50.38 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
vlad               569   0.0  0.1 33705292   6720   ??  S    Mon01PM   0:05.96 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
vlad               558   0.0  0.1 33785300   6984   ??  S    Mon01PM   0:11.88 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
vlad               556   0.0  0.1 33699504  10028   ??  S    Mon01PM   0:44.83 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
vlad               554   0.0  0.1 33715460   5916   ??  Ss   Mon01PM   0:03.79 /System/Library/Input Methods/PressAndHold.app/Contents/PlugIns/PAH_Extension.appex/Contents/MacOS/PAH_Extension -AppleLanguages ("ru-UA", "en-UA", "uk-UA")
vlad               551   0.0  0.1 33690836   4292   ??  S    Mon01PM   0:00.13 /usr/libexec/spindump_agent
vlad               548   0.0  0.2 33712240  12784   ??  S    Mon01PM   0:07.96 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
vlad               547   0.0  0.1 34201988   4948   ??  S    Mon01PM   0:01.01 /usr/libexec/avconferenced
vlad               537   0.0  0.1 33691948   4388   ??  S    Mon01PM   0:00.52 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
vlad               533   0.0  0.2 33984208  17636   ??  S    Mon01PM   0:15.65 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
vlad               529   0.0  0.4 34541340  31828   ??  S    Mon01PM   0:42.02 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
root               517   0.0  0.0 33676688    576   ??  Ss   Mon01PM   0:00.09 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
vlad               514   0.0  0.1 33710696   9392   ??  S    Mon01PM   0:04.34 /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd
vlad               512   0.0  0.3 33709808  21392   ??  U    Mon01PM   0:40.92 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/Versions/A/Support/bird
vlad               510   0.0  0.0 33696548   2636   ??  S    Mon01PM   0:00.26 /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent --launchd
vlad               508   0.0  0.0 33690072   3644   ??  S    Mon01PM   0:00.72 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
root               505   0.0  0.0 33661808   1280   ??  Ss   Mon01PM   0:00.08 automountd
_appleevents       501   0.0  0.0 33631972    584   ??  S    Mon01PM   0:02.08 /usr/sbin/distnoted agent
